name,aliases,slug,tier,sourceGroup,category,website,logoUrl,whatTheyDo,whatTheyDo_method,whatTheyDo_variant,whatTheyDo_sourceUrl,whatTheyDo_fetchedAt,whatTheyDo_writer,whatTheyDo_note,useCases,useCases_method,useCases_basis,useCases_fetchedAt,useCases_writer,useCases_note,whatTheyDo_unsourced,useCases_unsourced,unsourced_method,unsourced_confidence,unsourced_writer,unsourced_note,confidence,confidenceScore,confidence_method,confidence_originalValue,confidence_thresholds,confidence_note,logoUrl_method,logoUrl_sourceUrl,sourceUrl,extractedAt,lastSeenAt,status,isDataArtifact,year,recordId
Lexis Nexis Risk Solutions,,lexis-nexis-risk-solutions,Exhibitor,Exhibitors,regtech,https://risk.lexisnexis.com/global/en,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/87a41897-9d72-45c0-80e4-28cc348e5b14-LexisNexis-removebg-preview.png,"LexisNexis Risk Solutions uses Big Data, proprietary linking and targeted solutions to provide insights that help make organizations more secure and efficient.",direct-meta-description,,https://risk.lexisnexis.com/global/en,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,analytics and reporting,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d0e
Luxembourg House of Financial Technology,,luxembourg-house-of-financial-technology,Exhibitor,Exhibitors,infra,www.luxembourgforfinance.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/6e5741d3-92f3-4e81-8120-36a477ed37fb-LuxembourgHouseofFinancialTechnology.png,"Welcome to the website of Luxembourg for Finance, the Agency for the Development of the Financial Centre. Founded in 2008, its objective is to develop Luxembourg’s financial services industry and identify new business opportunities.",apify:apify/website-content-crawler,meta-description,https://www.luxembourgforfinance.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d0f
LXME,,lxme,Exhibitor,Exhibitors,other,https://lxme.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a8057b3b-01a9-4fae-ba17-e1a38906d893-LXME.png,"Lxme is India's first investment app for women, built to simplify mutual funds, digital gold and everyday budgeting. Join thousands of women managing money on their own terms, backed by tools designed for real financial goals.",direct-meta-description,,https://lxme.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,wealth management,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d10
Lyra,,lyra,Payment Enabler,Partners,payments,https://www.lyra.com/in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/2d03b0fc-9a7b-4b6d-9cc6-54946219c814-lyra-website-logo.png,Payment gateway and secure transaction provider,curated-public-facts,,,earlier-in-this-session,,,online payment gateway;payment security,phrase-match:whatTheyDo,,,,,"French payment technology group providing secure payment gateway, terminal and transaction routing infrastructure for merchants and banks.",Online payment gateway for merchants;In-store terminal payment processing;Secure transaction routing for banks;PCI-compliant payment data handling,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.7,normalised-from-numeric,0.7,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f35e
M-tech Innovations,,m-tech-innovations,Bronze Partner,Partners,infra,https://m-techindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/3dafa8c5-7da2-47ef-98ca-939143cc3890-m-tech-innovations--website-logo.png,"M-Tech Innovations provides smart cards, RFID solutions, automotive components, HMI systems, PU logos & secure ID solutions across India. Contact us today.",direct-meta-description,,https://m-techindia.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d11
Mantra Softech,,mantra-softech,Exhibitor,Exhibitors,infra,https://www.mantratec.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/68400b1b-43ff-429c-9b5f-3f4f67ce1cd0-mantra-softech-website-logo.png,Mantra Softech India Pvt Ltd - India,direct-meta-description,,https://www.mantratec.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d12
MapmyIndia,,mapmyindia,Exhibitor,Exhibitors,other,https://www.mapmyindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/b9afe119-c98c-42d5-bfd5-56b921a01a3e-mapmyindia-website-logo.png,"MapmyIndia provides revolutionary location-based products, solutions and services built on India’s best maps. MapmyIndia bringing deep tech to Maps, Location Intelligence & IoT",apify:apify/website-content-crawler,meta-description,https://www.mapmyindia.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d13
Mastercard,,mastercard,Silver Partner,Partners,payments,https://www.mastercard.com/in/en.html,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d64f9bbc-9772-4841-b50a-2331a6af13f7-Mastercard.png,Global card payment network,curated-public-facts,,,earlier-in-this-session,,,card issuing;card acceptance;cross-border payments,phrase-match:whatTheyDo,,,,,"Global payments technology company operating a card network plus services in fraud, data analytics, open banking and real-time payments.",Card issuing and acceptance network;Cross-border and B2B payments;Fraud and cyber intelligence services;Tokenisation and secure digital checkout,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",high,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f392
MCX,,mcx,Exhibitor,Exhibitors,wealthtech,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/32fbd9d6-65fa-4b32-a523-b454c454b766-mcx-website-logo.png,Indian commodity derivatives exchange,curated-public-facts,,,earlier-in-this-session,,,commodity trading;price discovery,phrase-match:whatTheyDo,curated-public-facts,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d14
Melento,,melento,Bronze Partner,Partners,other,https://www.melento.ai,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/4fb78456-d2db-4edd-8044-936483623142-melento-website-logo.png,Experience document automation with Melento,direct-meta-description,,https://www.melento.ai,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d15
Metropolitan Stock Exchange,,metropolitan-stock-exchange,Exhibitor,Exhibitors,other,https://mseindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/18319ce5-ed14-4701-8583-55dc6424ad5a-metropolitan-stock-exchange-website-logo.png,"Explore Metropolitan Stock Exchange of India (MSE India) for equity, equity derivatives, index, currency trading & market insights. Secure, transparent trading platform.",apify:apify/website-content-crawler,meta-description,https://mseindia.com/,2026-08-12T13:30:52Z,,,trading and brokerage;analytics and reporting,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d16
Mfilterit,,mfilterit,Exhibitor,Exhibitors,other,https://www.mfilterit.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/09557fec-20fc-44af-849c-2445f027ae4f-mFiilterlt.png,"mFilterIt is a digital trust platform that detects ad fraud, brand threats and financial scams for brands and enterprises worldwide.",direct-meta-description,,https://www.mfilterit.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,fraud prevention,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d17
Mindgate,Mindgate Solutions,mindgate,Silver Partner,Partners,other,https://www.mindgate.solutions/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/5eeb97fc-07f2-4c88-bedc-267ccf687ddb-MindGate.png,"Mindgate Solutions is a leading digital payment solutions provider for banks, corporates and businesses, processing over 8 Billion+ transactions monthly.",direct-meta-description,,https://www.mindgate.solutions/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Payments technology company powering real-time payment infrastructure such as UPI, IMPS and NEFT switches for large banks.",UPI switch and payment hub for banks;Real-time payments processing;Corporate payments and collections platform;Payment reconciliation and dispute management,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d18
Mitigata,,mitigata,Securing & Insuring Partner,Partners,insurtech,https://mitigata.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/9d73a474-9794-4a00-a60e-f199542ad787-mitigata.png,"Mitigata is India’s own AI-built cyber resilience platform — unifying cybersecurity, compliance, and cyber insurance into one operating layer for every business.",apify:apify/website-content-crawler,meta-description,https://mitigata.com/,2026-08-12T13:30:52Z,,,AML and compliance;insurance distribution;AI and automation;cybersecurity,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,Cyber insurance and security company that combines cyber risk assessment with cyber insurance cover for businesses.,Cyber insurance for fintech and SME businesses;Cyber risk posture assessment;Breach response and claims support;Compliance-driven security monitoring,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.6,normalised-from-numeric,0.6,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f376
Modus AI,,modus-ai,Exhibitor,Exhibitors,ai,www.modussecure.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/de7052cc-4970-4cc9-a9e2-36a59558e9ee-modus-ai-website-logo.png,"Everything you need for merchant monitoring, compliance review, fraud detection, case resolution, document review, and due diligence.",direct-meta-description,,www.modussecure.com,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,fraud prevention;AML and compliance,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d19
MongoDB,,mongodb,Exhibitor,Exhibitors,other,https://www.mongodb.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ea1d6f94-9e0d-417e-b96a-eee0b12f9a86-MongoDB.png,"Get your ideas to market faster with a flexible, AI-ready database. MongoDB makes working with data easy.",direct-meta-description,,https://www.mongodb.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d1a
Montran Corporation India,Montran,montran-corporation-india,Gold Partner,Partners,other,https://www.montran.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/9df7ce10-40a0-4bf0-b659-7c35502e048b-Montran.png,"Banks need high-performance, future-proof financial systems ready to move economies.",apify:apify/website-content-crawler,homepage-body-text,https://www.montran.in/,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Provider of payment systems and capital markets software, including RTGS, ACH and instant payment infrastructure for central banks and banks.",National RTGS and ACH payment infrastructure;Instant payments platform for banks;SWIFT and ISO 20022 message processing;Capital markets settlement systems,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d1b
Mufinpay,,mufinpay,Exhibitor,Exhibitors,payments,https://mufinpay.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/6e3ecfdf-bd07-4ecb-ade2-857acfaeaf3b-MufinPay.png,,,,,,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d1c
My Mudra Fincorp,,my-mudra-fincorp,Exhibitor,Exhibitors,other,www.mymudra.com,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/a8ec275f-7ee8-4b7e-b30d-0e2b4622e446-MyMudra.png,"Looking for the best loan provider in India? Get instant personal, home & business loans at low interest rates, fast approval, and trusted RBI registered lenders.",apify:apify/website-content-crawler,meta-description,https://www.mymudra.com/,2026-08-12T13:30:52Z,,,digital lending,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d1d
NABARD,,nabard,Diamond Partner,Partners,banking,https://www.nabard.org/EngDefault.aspx,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/bd23ff07-9e44-4c8c-9906-1921819afd0c-NABARD.png,"Explore NABARD's official website - your trusted source for rural development finance, agriculture support, financial inclusion and sustainable development programmes in India. Learn about schemes, loans, and initiatives empowering rural india.",direct-meta-description,,https://www.nabard.org/EngDefault.aspx,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending;financial inclusion,phrase-match:whatTheyDo,,,,,"India's apex development bank for agriculture and rural development, refinancing rural lenders and funding rural infrastructure.",Refinance for rural and cooperative banks;Self-help group and microfinance linkage;Agricultural credit infrastructure;Rural financial inclusion programmes,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6b77b652fb8e4842f367
National Stock Exchange,,national-stock-exchange,Exhibitor,Exhibitors,wealthtech,https://www.nseindia.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/34c634a3-f7ce-44e1-bbd1-b2c7f9271677-national-stock-exchange-website-logo.png,India's largest stock exchange,curated-public-facts,,,earlier-in-this-session,,,equity trading;derivatives;market data,phrase-match:whatTheyDo,curated-public-facts,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d1e
Navanatech AI,,navanatech-ai,Silver Partner,Partners,ai,https://navana.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/14f4a6d1-5945-475c-82b8-29c0046db972-navanatech-ai-website-logo.png,"Navana.ai is building India’s foundational voice AI infrastructure with proprietary speech models that understand India - not just linguistically, but contextually in all Indian languages.",direct-meta-description,,https://navana.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation;cloud infrastructure,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d1f
Navi Technologies Limited,Navi Technologies,navi-technologies-limited,VIP Lounge Partner,Partners,infra,http://www.navi.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/1efa9f89-3352-405b-9e60-126406147f3b-NaviTechnologies.png,"Lightning fast UPI payments, instant Cash Loans & Home Loans, smart investments in Mutual Funds & Digital Gold, comprehensive Health Insurance - all in one app.",apify:apify/website-content-crawler,meta-description,http://www.navi.com/,2026-08-12T13:30:52Z,,,UPI payments;digital lending;wealth management;insurance distribution,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,"Indian digital-first financial services company offering personal loans, home loans, health insurance and mutual funds through a mobile app.",Instant app-based personal loans;Digital home loan origination;Direct-to-consumer health insurance;Low-cost index mutual fund investing,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d20
Neo4j,,neo4j,Bronze Partner,Partners,infra,https://neo4j.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d8f7f41f-0988-47a6-a3be-0922a01e6ec8-Neo4j.png,"Connect data as it's stored with Neo4j. Perform powerful, complex queries at scale and speed with our graph data platform.",direct-meta-description,,https://neo4j.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,analytics and reporting,phrase-match:whatTheyDo,,,,,"Graph database company whose technology is used in financial services for fraud rings, AML networks and entity resolution.",Fraud ring and money mule detection;AML network and transaction graph analysis;Customer entity resolution and KYC linkage;Knowledge graphs for AI-powered financial search,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,0.75,normalised-from-numeric,0.75,"high>=0.80, medium>=0.50, else low","original float preserved in confidenceScore; value written by another worker, mapped not discarded",gff-cms-partner-listing,https://www.globalfintechfest.com/partners,https://www.globalfintechfest.com/partners,2026-08-12T00:00:00Z,2026-08-12T13:58:49Z,active,,2026,6a7c6c0fb652fb8e4842f3ae
NeoSoft Technology,,neosoft-technology,Exhibitor,Exhibitors,infra,https://www.neosofttech.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d249f462-da96-4943-bf30-b0a7f6b07253-NeoSOFT.png,NeoSOFT is a leading software development and IT outsourcing company with 25+ years of software engineering excellence and successfully driving digital growth and innovation for 1500+ global brands.,direct-meta-description,,https://www.neosofttech.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d21
Nerve Solutions,,nerve-solutions,Exhibitor,Exhibitors,infra,https://www.nerve.solutions/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/d665eacd-5b12-4bf2-893d-2dee9aefac3d-NerveSolutions.png,"A boutique consulting and development firm, making technology easy for all your fintech needs",direct-meta-description,,https://www.nerve.solutions/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d22
Netwin,,netwin,Exhibitor,Exhibitors,other,https://netwin.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/506c386e-29ef-411e-8ca0-39c2c96e7fda-netwin.png,"Global Fintech Fest 2025 Date 7th to 9th Oct 2025 Venue Jasmine Hall, Jio World Convention Centre Booth No. JC9 Book a Meeting Redefining Digital Banking Have all banking operations like opening of account, paying your bills & receiving payments, getting loans, repaying instalments & interest at your fingertips sitting at your own place. Digital ... Read more",direct-meta-description,,https://netwin.in/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,digital lending,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d23
Nexensus,,nexensus,Exhibitor,Exhibitors,other,https://www.nexensus.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/8ae37e60-01f6-42b0-a764-0e755f10047b-Nexensus.png,"Nexensus, founded in 2013, began as a helping hand to the BFSI sector by providing ROC documents and data. Nexensus has carved out a significant niche in three critical areas of Data Aggregation, Data Analytics and Information Systems/Solutions. Offering EWS, Credit , Data Aggregations and Risk solutions to BFSI sector",apify:apify/website-content-crawler,meta-description,https://www.nexensus.com/,2026-08-12T13:30:52Z,,,analytics and reporting,phrase-match:whatTheyDo,apify:apify/website-content-crawler,2026-08-12T13:32:27Z,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d24
Nogrunt,,nogrunt,Exhibitor,Exhibitors,other,https://www.nogrunt.ai/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/fea5c3ac-5070-4f0c-a8b6-996ce228ce07-nogrunt--website-logo.png,"Nogrunt is an AI-native Digital Teammate that joins your engineering team, understands your product, and handles the full quality lifecycle.",direct-meta-description,,https://www.nogrunt.ai/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d25
Novus Loyalty,,novus-loyalty,Bronze Partner,Partners,other,https://www.novus-loyalty.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/ae387335-0d45-4780-aa1b-d03d7508f291-NovusLoyalty.png,"AI-powered loyalty program software to deliver better customer experiences globally with a flexible rule engine and smart rewards that boost retention, engagement & lifetime value.",direct-meta-description,,https://www.novus-loyalty.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,AI and automation,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d26
NPCI,,npci,Exhibitor,Exhibitors,payments,https://www.npci.org.in/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/8016fa3e-64a5-4168-8eae-828efd5cb9d7-npci-website-logo.png,"National Payments Corporation of India, the umbrella organisation that operates retail payment systems in India including UPI, RuPay and IMPS.",curated-public-facts,,,2026-08-12T13:32:27Z,,"stable public fact about what the organisation is; no GFF-2026 claims, no time-sensitive detail",UPI payments;card acceptance,curated-public-facts,,2026-08-12T13:32:27Z,,,,,,,,,high,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d27
NPST,,npst,Exhibitor,Exhibitors,other,https://www.npstx.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/c5a0922e-cc2a-4413-8ea1-c83a3a8680cc-NPST.png,India’s Leading Digital Banking and Payments Provider,apify:apify/website-content-crawler,homepage-body-text,https://www.npstx.com/,2026-08-12T13:30:52Z,,,,,,,,,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d28
NSDL,,nsdl,Exhibitor,Exhibitors,other,https://nsdl.com/,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/1949b74d-8cd5-44de-91c3-186bde3d0453-nsdl-website-logo.png,Unlock Your Investment Journey! Open a NSDL Demat Account Today with your preferred Participant (DP),direct-meta-description,,https://nsdl.com/,earlier-in-this-session,,our own fetch of the company's homepage <meta> tag,wealth management,phrase-match:whatTheyDo,direct-meta-description,,,derived by literal phrase match against this record whatTheyDo text,,,,,,,medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d29
NSRCEL IIMB,,nsrcel-iimb,Ecosystem,Ecosystem,other,,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/b7f7d1b7-4a53-48d3-808c-5a428555a764-NSRCEL-logo.png,,,,,,,,,,,,,,,,,,,,low,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d2a
NTT Data (ADAPTIS),NTT DATA,ntt-data-adaptis,Bronze Partner,Partners,ai,https://in.nttdatapay.com/en,https://event-engine-prod-media.s3.ap-south-1.amazonaws.com/uploads/306a76ba-2cac-446f-9e58-23087159492a-NTTData.png,"NTT DATA Payment Services India is an RBI-licensed payment aggregator delivering secure, scalable in-store, online and enterprise digital payment solutions.",apify:apify/website-content-crawler,meta-description,https://in.nttdatapay.com/en,2026-08-12T13:30:52Z,,,,unsourced,,,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified","Global IT services and consulting firm delivering core banking modernisation, payments and cloud services to financial institutions.",Core banking modernisation programmes;Payment platform implementation;Cloud migration for regulated workloads;Managed IT services for banks,unsourced,low,scratch-2,"written by another worker with no provenance; the cited page supplies logos/names/tiers only and cannot be the origin of this prose, so it is treated as unverified",medium,,,,,,,,https://www.globalfintechfest.com/partners,2026-08-12T12:50:34Z,2026-08-12T13:58:49Z,active,false,2026,6a7c769516afc6a8747c9d2b
